EventCode,NTSyslogID,action
325,F325,failure
326,S326,success
326,F326,failure
327,S327,success
327,F327,failure
328,S328,success
328,F328,failure
329,S329,success
329,F329,failure
330,S330,success
330,F330,failure
331,S331,success
331,F331,failure
332,S332,success
332,F332,failure
333,S333,success
333,F333,failure
334,S334,success
334,F334,failure
335,S335,success
335,F335,failure
336,S336,success
336,F336,failure
337,S337,success
337,F337,failure
338,S338,success
338,F338,failure
339,S339,success
339,F339,failure
340,S340,success
340,F340,failure
341,S341,success
341,F341,failure
342,S342,success
342,F342,failure
343,S343,success
343,F343,failure
344,S344,success
344,F344,failure
345,S345,success
345,F345,failure
346,S346,success
346,F346,failure
347,S347,success
347,F347,failure
348,S348,success
348,F348,failure
349,S349,success
349,F349,failure
350,S350,success
350,F350,failure
351,S351,success
351,F351,failure
352,S352,success
352,F352,failure
353,S353,success
353,F353,failure
354,S354,success
354,F354,failure
355,S355,success
355,F355,failure
356,S356,success
356,F356,failure
357,S357,success
357,F357,failure
358,S358,success
358,F358,failure
359,S359,success
359,F359,failure
360,S360,success
360,F360,failure
361,S361,success
361,F361,failure
362,S362,success
362,F362,failure
363,S363,success
363,F363,failure
364,S364,success
364,F364,failure
365,S365,success
365,F365,failure
366,S366,success
366,F366,failure
367,S367,success
367,F367,failure
368,S368,success
368,F368,failure
369,S369,success
369,F369,failure
370,S370,success
370,F370,failure
371,S371,success
371,F371,failure
372,S372,success
372,F372,failure
373,S373,success
373,F373,failure
374,S374,success
374,F374,failure
375,S375,success
375,F375,failure
376,S376,success
376,F376,failure
377,S377,success
377,F377,failure
378,S378,success
378,F378,failure
379,S379,success
379,F379,failure
380,S380,success
380,F380,failure
381,S381,success
381,F381,failure
382,S382,success
382,F382,failure
383,S383,success
383,F383,failure
384,S384,success
384,F384,failure
385,S385,success
385,F385,failure
386,S386,success
386,F386,failure
387,S387,success
387,F387,failure
388,S388,success
388,F388,failure
389,S389,success
389,F389,failure
390,S390,success
390,F390,failure
391,S391,success
391,F391,failure
392,S392,success
392,F392,failure
393,S393,success
393,F393,failure
394,S394,success
394,F394,failure
395,S395,success
395,F395,failure
396,S396,success
396,F396,failure
397,S397,success
397,F397,failure
398,S398,success
398,F398,failure
399,S399,success
399,F399,failure
400,S400,success
400,F400,failure
401,S401,success
401,F401,failure
402,S402,success
402,F402,failure
403,S403,success
403,F403,failure
404,S404,success
404,F404,failure
405,S405,success
405,F405,failure
406,S406,success
406,F406,failure
407,S407,success
407,F407,failure
408,S408,success
408,F408,failure
409,S409,success
409,F409,failure
410,S410,success
410,F410,failure
411,S411,success
411,F411,failure
412,S412,success
412,F412,failure
413,S413,success
413,F413,failure
414,S414,success
414,F414,failure
415,S415,success
415,F415,failure
416,S416,success
416,F416,failure
417,S417,success
417,F417,failure
418,S418,success
418,F418,failure
419,S419,success
419,F419,failure
420,S420,success
420,F420,failure
421,S421,success
421,F421,failure
422,S422,success
422,F422,failure
423,S423,success
423,F423,failure
424,S424,success
424,F424,failure
425,S425,success
425,F425,failure
426,S426,success
426,F426,failure
427,S427,success
427,F427,failure
428,S428,success
428,F428,failure
429,S429,success
429,F429,failure
430,S430,success
430,F430,failure
431,S431,success
431,F431,failure
432,S432,success
432,F432,failure
433,S433,success
433,F433,failure
434,S434,success
434,F434,failure
435,S435,success
435,F435,failure
436,S436,success
436,F436,failure
437,S437,success
437,F437,failure
438,S438,success
438,F438,failure
439,S439,success
439,F439,failure
440,S440,success
440,F440,failure
441,S441,success
441,F441,failure
442,S442,success
442,F442,failure
443,S443,success
443,F443,failure
444,S444,success
444,F444,failure
445,S445,success
445,F445,failure
446,S446,success
446,F446,failure
447,S447,success
447,F447,failure
448,S448,success
448,F448,failure
449,S449,success
449,F449,failure
450,S450,success
450,F450,failure
451,S451,success
451,F451,failure
452,S452,success
452,F452,failure
453,S453,success
453,F453,failure
454,S454,success
454,F454,failure
455,S455,success
455,F455,failure
456,S456,success
456,F456,failure
457,S457,success
457,F457,failure
458,S458,success
458,F458,failure
459,S459,success
459,F459,failure
460,S460,success
460,F460,failure
461,S461,success
461,F461,failure
462,S462,success
462,F462,failure
463,S463,success
463,F463,failure
464,S464,success
464,F464,failure
465,S465,success
465,F465,failure
466,S466,success
