confidence,dateAdded,id,ip,lastModified,ownerName,rating,webLink
90,2014-09-09T17:45:56Z,286391,178.132.203.113,2014-09-09T17:45:56Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=178.132.203.113&owner=Common+Community
90,2014-09-09T17:45:56Z,286390,191.101.14.125,2014-09-09T17:45:56Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=191.101.14.125&owner=Common+Community
90,2014-09-09T17:45:56Z,286389,194.58.101.24,2014-09-09T17:45:56Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=194.58.101.24&owner=Common+Community
100,2014-09-06T15:06:24Z,285013,141.108.2.157,2014-09-06T15:06:24Z,Common Community,5,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=141.108.2.157&owner=Common+Community
80,2014-09-05T13:18:31Z,284537,212.19.36.200,2014-09-05T13:18:31Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=212.19.36.200&owner=Common+Community
80,2014-09-05T13:18:31Z,284536,212.19.36.199,2014-09-05T13:18:31Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=212.19.36.199&owner=Common+Community
80,2014-09-05T13:18:31Z,284535,212.19.36.198,2014-09-05T13:18:31Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=212.19.36.198&owner=Common+Community
80,2014-09-05T13:18:31Z,284534,212.19.36.197,2014-09-05T13:18:31Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=212.19.36.197&owner=Common+Community
80,2014-09-05T13:18:31Z,284533,212.19.36.196,2014-09-05T13:18:31Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=212.19.36.196&owner=Common+Community
80,2014-09-05T13:18:31Z,284532,212.19.36.195,2014-09-05T13:18:31Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=212.19.36.195&owner=Common+Community
80,2014-09-05T13:18:31Z,284531,212.19.36.194,2014-09-05T13:18:31Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=212.19.36.194&owner=Common+Community
80,2014-09-05T13:18:31Z,284530,212.19.36.193,2014-09-05T13:18:31Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=212.19.36.193&owner=Common+Community
80,2014-09-05T13:18:31Z,284529,212.19.36.192,2014-09-05T13:18:31Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=212.19.36.192&owner=Common+Community
80,2014-09-05T13:18:31Z,284528,212.19.32.15,2014-09-05T13:18:31Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=212.19.32.15&owner=Common+Community
80,2014-09-05T13:18:31Z,284527,212.19.32.14,2014-09-05T13:18:31Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=212.19.32.14&owner=Common+Community
80,2014-09-05T13:18:31Z,284526,212.19.32.13,2014-09-05T13:18:31Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=212.19.32.13&owner=Common+Community
80,2014-09-05T13:18:31Z,284525,212.19.32.12,2014-09-05T13:18:31Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=212.19.32.12&owner=Common+Community
80,2014-09-05T13:18:31Z,284524,212.19.32.11,2014-09-05T13:18:31Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=212.19.32.11&owner=Common+Community
80,2014-09-05T13:18:31Z,284523,212.19.32.10,2014-09-05T13:18:31Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=212.19.32.10&owner=Common+Community
80,2014-09-05T13:18:31Z,284522,212.19.32.9,2014-09-05T13:18:31Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=212.19.32.9&owner=Common+Community
80,2014-09-05T13:18:31Z,284521,212.19.32.8,2014-09-05T13:18:31Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=212.19.32.8&owner=Common+Community
80,2014-09-05T13:18:31Z,284520,212.19.32.7,2014-09-05T13:18:31Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=212.19.32.7&owner=Common+Community
80,2014-09-05T13:18:31Z,284519,212.19.32.6,2014-09-05T13:18:31Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=212.19.32.6&owner=Common+Community
80,2014-09-05T13:18:31Z,284518,212.19.32.5,2014-09-05T13:18:31Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=212.19.32.5&owner=Common+Community
80,2014-09-05T13:18:31Z,284517,212.19.32.4,2014-09-05T13:18:31Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=212.19.32.4&owner=Common+Community
80,2014-09-05T13:18:31Z,284516,212.19.32.3,2014-09-05T13:18:31Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=212.19.32.3&owner=Common+Community
80,2014-09-05T13:18:31Z,284515,212.19.32.1,2014-09-05T13:18:31Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=212.19.32.1&owner=Common+Community
80,2014-09-05T13:18:31Z,284514,212.19.32.0,2014-09-05T13:18:31Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=212.19.32.0&owner=Common+Community
80,2014-09-05T13:18:31Z,284513,82.98.97.198,2014-09-05T13:18:31Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=82.98.97.198&owner=Common+Community
80,2014-09-05T13:18:31Z,284512,82.98.97.197,2014-09-05T13:18:31Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=82.98.97.197&owner=Common+Community
80,2014-09-05T13:18:31Z,284511,82.98.97.196,2014-09-05T13:18:31Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=82.98.97.196&owner=Common+Community
80,2014-09-05T13:18:31Z,284510,82.98.97.195,2014-09-05T13:18:31Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=82.98.97.195&owner=Common+Community
80,2014-09-05T13:18:31Z,284509,82.98.97.194,2014-09-05T13:18:31Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=82.98.97.194&owner=Common+Community
80,2014-09-05T13:18:31Z,284508,82.98.97.193,2014-09-05T13:18:31Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=82.98.97.193&owner=Common+Community
80,2014-09-05T13:18:31Z,284507,82.98.97.192,2014-09-05T13:18:31Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=82.98.97.192&owner=Common+Community
80,2014-09-05T13:18:31Z,284506,82.98.97.191,2014-09-05T13:18:31Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=82.98.97.191&owner=Common+Community
80,2014-09-05T13:18:31Z,284505,82.98.97.190,2014-09-05T13:18:31Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=82.98.97.190&owner=Common+Community
80,2014-09-05T13:18:31Z,284504,82.98.97.189,2014-09-05T13:18:31Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=82.98.97.189&owner=Common+Community
80,2014-09-05T13:18:31Z,284503,82.98.97.188,2014-09-05T13:18:31Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=82.98.97.188&owner=Common+Community
80,2014-09-05T13:18:31Z,284502,82.98.97.187,2014-09-05T13:18:31Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=82.98.97.187&owner=Common+Community
80,2014-09-05T13:18:31Z,284501,82.98.97.186,2014-09-05T13:18:31Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=82.98.97.186&owner=Common+Community
80,2014-09-05T13:18:31Z,284500,82.98.97.184,2014-09-05T13:18:31Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=82.98.97.184&owner=Common+Community
80,2014-09-05T13:18:31Z,284499,82.98.97.182,2014-09-05T13:18:31Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=82.98.97.182&owner=Common+Community
80,2014-09-05T13:18:31Z,284498,82.98.97.181,2014-09-05T13:18:31Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=82.98.97.181&owner=Common+Community
80,2014-09-05T13:18:31Z,284497,82.98.97.180,2014-09-05T13:18:31Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=82.98.97.180&owner=Common+Community
80,2014-09-05T13:18:31Z,284496,82.98.97.179,2014-09-05T13:18:31Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=82.98.97.179&owner=Common+Community
80,2014-09-05T13:18:31Z,284495,82.98.97.178,2014-09-05T13:18:31Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=82.98.97.178&owner=Common+Community
80,2014-09-05T13:18:31Z,284494,82.98.97.177,2014-09-05T13:18:31Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=82.98.97.177&owner=Common+Community
80,2014-09-05T13:18:31Z,284493,82.98.97.176,2014-09-05T13:18:31Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=82.98.97.176&owner=Common+Community
70,2014-09-05T13:18:31Z,284492,82.98.97.200,2014-09-05T13:18:31Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=82.98.97.200&owner=Common+Community
70,2014-09-05T13:18:31Z,284491,82.98.111.164,2014-09-05T13:18:31Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=82.98.111.164&owner=Common+Community
70,2014-09-05T13:18:31Z,284490,82.98.111.163,2014-09-05T13:18:31Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=82.98.111.163&owner=Common+Community
70,2014-09-05T13:18:31Z,284489,82.98.111.162,2014-09-05T13:18:31Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=82.98.111.162&owner=Common+Community
70,2014-09-05T13:18:31Z,284488,82.98.111.161,2014-09-05T13:18:31Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=82.98.111.161&owner=Common+Community
70,2014-09-05T13:18:31Z,284487,82.98.111.148,2014-09-05T13:18:31Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=82.98.111.148&owner=Common+Community
70,2014-09-05T13:18:31Z,284486,82.98.111.147,2014-09-05T13:18:31Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=82.98.111.147&owner=Common+Community
70,2014-09-05T13:18:31Z,284485,82.98.111.146,2014-09-05T13:18:31Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=82.98.111.146&owner=Common+Community
70,2014-09-05T13:18:31Z,284484,82.98.111.145,2014-09-05T13:18:31Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=82.98.111.145&owner=Common+Community
70,2014-09-05T13:18:31Z,284481,66.135.215.61,2014-09-05T13:18:31Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=66.135.215.61&owner=Common+Community
70,2014-09-05T13:18:31Z,284480,69.43.161.211,2014-09-05T13:18:31Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=69.43.161.211&owner=Common+Community
70,2014-09-05T13:18:31Z,284479,69.43.161.162,2014-09-05T13:18:31Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=69.43.161.162&owner=Common+Community
70,2014-09-05T13:18:31Z,284478,69.43.160.163,2014-09-05T13:18:31Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=69.43.160.163&owner=Common+Community
70,2014-09-05T13:18:31Z,284477,82.98.97.206,2014-09-05T13:18:31Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=82.98.97.206&owner=Common+Community
70,2014-09-05T13:18:31Z,284476,82.98.97.203,2014-09-05T13:18:31Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=82.98.97.203&owner=Common+Community
70,2014-09-05T13:18:31Z,284475,82.98.97.185,2014-09-05T13:18:31Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=82.98.97.185&owner=Common+Community
70,2014-09-05T13:18:31Z,284474,82.98.97.183,2014-09-05T13:18:31Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=82.98.97.183&owner=Common+Community
100,2014-09-02T16:27:41Z,282650,137.170.185.211,2014-09-02T16:27:45Z,Common Community,1,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=137.170.185.211&owner=Common+Community
100,2014-08-29T20:40:19Z,281644,122.10.10.210,2014-08-29T20:40:19Z,Common Community,5,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=122.10.10.210&owner=Common+Community
100,2014-08-29T20:40:19Z,281624,122.10.9.109,2014-08-29T20:40:19Z,Common Community,5,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=122.10.9.109&owner=Common+Community
100,2014-08-11T17:59:55Z,241997,103.25.202.156,2014-08-11T17:59:55Z,Common Community,5,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=103.25.202.156&owner=Common+Community
50,2014-08-05T12:05:38Z,240389,199.91.173.44,2014-08-12T14:12:21Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=199.91.173.44&owner=Common+Community
100,2014-07-02T19:59:26Z,228213,204.95.99.59,2014-07-08T14:28:46Z,Common Community,1,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=204.95.99.59&owner=Common+Community
50,2014-06-24T17:38:46Z,220017,192.186.192.33,2014-06-30T17:09:15Z,Common Community,3,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=192.186.192.33&owner=Common+Community
100,2014-06-20T20:04:42Z,217941,31.170.167.168,2014-06-20T20:04:42Z,Common Community,2,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=31.170.167.168&owner=Common+Community
100,2014-06-11T00:39:31Z,212302,74.231.44.66,2014-06-11T00:39:31Z,Common Community,5,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=74.231.44.66&owner=Common+Community
100,2014-06-11T00:39:31Z,212303,70.89.13.241,2014-06-11T00:39:31Z,Common Community,5,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=70.89.13.241&owner=Common+Community
100,2014-06-10T18:59:41Z,212211,46.251.237.59,2014-06-10T18:59:41Z,Common Community,5,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=46.251.237.59&owner=Common+Community
